Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Biodegradation Time (days),Recyclability (%),Recycled Content (%),Reusability (%),End-of-Life Disposal (%),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Region,Supplier Sustainability Compliance (%),Packaging Type,Suitable Product Categories,Recommended Packaging Use Cases,Recyclability Category
0.78,0.54,188.0,98.0,79.0,49.0,5.0,61.0,88.0,6.0,5.0,4.0,2.24,101260.0,790.0,EMEA,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.52,0.32,65.0,100.0,93.0,31.0,2.0,68.0,98.0,3.0,3.0,3.0,1.82,73961.0,545.0,APAC,88.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
3.67,3.25,180208.0,87.0,78.0,100.0,8.0,85.0,79.0,8.0,9.0,9.0,25.0,14649.0,4979.0,AMERICAS,88.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.48,0.31,65.0,100.0,89.0,31.0,3.0,69.0,87.0,1.0,1.0,4.0,2.43,75036.0,656.0,ROW,81.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.41,0.31,122.0,100.0,92.0,28.0,3.0,61.0,89.0,3.0,2.0,3.0,1.69,69209.0,549.0,LATAM,81.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.01,1.41,52407.0,85.0,38.0,87.0,12.0,78.0,81.0,8.0,8.0,6.0,12.45,56902.0,1222.0,APAC,97.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
3.43,3.01,147359.0,91.0,75.0,93.0,8.0,84.0,83.0,8.0,10.0,8.0,25.48,23428.0,5016.0,ROW,94.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
3.64,3.2,161066.0,96.0,75.0,96.0,7.0,84.0,72.0,8.0,10.0,9.0,25.61,21463.0,4932.0,EU,88.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
3.59,3.0,115102.0,94.0,66.0,91.0,8.0,86.0,76.0,8.0,10.0,8.0,25.17,22087.0,4952.0,EMEA,87.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.42,0.29,31.0,94.0,90.0,34.0,3.0,63.0,92.0,1.0,1.0,3.0,2.29,72042.0,549.0,LATAM,79.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.66,0.54,196.0,100.0,83.0,50.0,6.0,65.0,92.0,5.0,5.0,4.0,3.48,96598.0,746.0,LATAM,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
3.45,3.23,75709.0,87.0,70.0,97.0,7.0,85.0,76.0,8.0,9.0,8.0,24.43,23521.0,5092.0,APAC,88.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
2.03,1.59,70881.0,76.0,30.0,7.0,25.0,25.0,56.0,7.0,9.0,6.0,0.9,32265.0,164.0,APAC,68.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.46,0.33,145.0,100.0,85.0,33.0,3.0,70.0,93.0,3.0,3.0,4.0,2.34,74773.0,548.0,EMEA,80.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.03,1.58,73043.0,87.0,41.0,82.0,13.0,77.0,81.0,8.0,9.0,6.0,12.56,57353.0,1271.0,AMERICAS,91.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.77,0.49,355.0,93.0,84.0,47.0,5.0,61.0,90.0,5.0,5.0,3.0,3.05,102073.0,901.0,EU,91.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.98,1.39,72362.0,71.0,30.0,9.0,25.0,28.0,58.0,8.0,7.0,8.0,1.07,30307.0,277.0,ROW,73.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.91,1.46,38310.0,62.0,27.0,12.0,26.0,32.0,66.0,7.0,9.0,8.0,1.49,27635.0,268.0,EMEA,76.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.95,1.47,58200.0,86.0,41.0,94.0,12.0,70.0,78.0,8.0,9.0,6.0,12.14,59878.0,1046.0,LATAM,87.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.79,0.53,218.0,92.0,78.0,53.0,6.0,56.0,88.0,5.0,4.0,5.0,3.44,98966.0,991.0,LATAM,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.47,0.33,62.0,100.0,94.0,34.0,3.0,69.0,100.0,3.0,1.0,4.0,1.76,71711.0,667.0,EU,76.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
1.15,1.36,36417.0,94.0,56.0,90.0,10.0,77.0,85.0,8.0,9.0,7.0,14.36,45723.0,1029.0,APAC,93.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
0.76,0.47,211.0,90.0,75.0,44.0,5.0,62.0,89.0,4.0,5.0,3.0,3.77,98647.0,753.0,AMERICAS,93.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.07,1.35,15440.0,88.0,34.0,89.0,13.0,74.0,84.0,8.0,7.0,7.0,12.18,63839.0,1020.0,EMEA,91.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
1.98,1.61,53377.0,63.0,24.0,16.0,24.0,31.0,59.0,7.0,9.0,8.0,1.07,31171.0,145.0,AMERICAS,63.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
0.57,0.3,81.0,100.0,89.0,31.0,3.0,66.0,99.0,3.0,2.0,3.0,2.74,75019.0,595.0,AMERICAS,86.0,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,High
0.8,0.49,96.0,100.0,79.0,50.0,4.0,55.0,83.0,6.0,4.0,3.0,3.14,98658.0,722.0,APAC,85.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.22,1.52,42997.0,92.0,48.0,99.0,10.0,80.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,EU,86.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
1.04,1.55,33532.0,91.0,47.0,97.0,10.0,79.0,91.0,8.0,7.0,7.0,14.4,51174.0,959.0,LATAM,97.0,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,Medium
3.49,2.71,63481.0,100.0,69.0,96.0,8.0,85.0,73.0,9.0,9.0,10.0,25.65,24816.0,5014.0,EMEA,88.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
3.43,2.98,134415.0,98.0,70.0,100.0,9.0,84.0,72.0,8.0,9.0,9.0,25.95,19847.0,4946.0,EU,92.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.86,1.38,40345.0,90.0,41.0,88.0,13.0,75.0,79.0,7.0,9.0,7.0,11.82,61482.0,1158.0,ROW,98.0,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,Medium
0.79,0.49,265.0,94.0,78.0,45.0,5.0,64.0,95.0,6.0,3.0,3.0,2.66,100071.0,782.0,AMERICAS,90.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
0.77,0.52,192.0,99.0,80.0,51.0,6.0,61.0,87.0,5.0,3.0,5.0,2.83,96726.0,713.0,AMERICAS,92.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
1.98,1.37,49088.0,70.0,21.0,10.0,24.0,27.0,62.0,8.0,9.0,8.0,1.27,29882.0,224.0,AMERICAS,66.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.95,1.64,93365.0,66.0,33.0,13.0,25.0,32.0,54.0,8.0,8.0,8.0,2.18,28979.0,309.0,ROW,72.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
1.91,1.45,89889.0,55.0,26.0,12.0,25.0,32.0,61.0,9.0,9.0,7.0,1.21,29800.0,153.0,APAC,70.0,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,Medium
3.51,2.92,72041.0,97.0,73.0,98.0,8.0,89.0,72.0,9.0,9.0,9.0,24.34,23233.0,4984.0,EU,86.0,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",High
0.92,0.55,256.0,100.0,76.0,51.0,5.0,59.0,96.0,4.0,5.0,5.0,3.31,102546.0,957.0,AMERICAS,83.0,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,High
