material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
1,Virgin Cardboard,15,15,5,1.14,90,45,General Packaging,Literature,High
2,Recycled Cardboard,15,15,5,0.82,95,40,General Packaging,Literature,High
3,Virgin Paper,5,5,5,0.91,85,35,Light Packaging,Literature,High
4,Recycled Paper,5,5,5,0.62,90,30,Light Packaging,Literature,High
5,PLA Bioplastic,50,10,80,0.5,70,120,Food/Cosmetic,Literature,High
6,Compostable Plastic,40,8,85,0.6,70,110,Food Packaging,Literature,High
7,Conventional Plastic (PET),60,15,1,3.0,50,80,General Packaging,Literature,High
8,Conventional Plastic (HDPE),65,18,1,3.1,55,85,Food/Cosmetics,Literature,High
9,Recycled PET,60,15,1,1.8,75,90,General Packaging,Literature,High
10,Sugarcane Bagasse,12,7,90,0.4,80,50,Food Packaging,Literature,High
11,Wood Pulp Molded Fiber,10,6,85,0.5,75,55,Electronics Packaging,Literature,High
12,Corrugated Paperboard,16,20,5,1.2,92,48,Electronics Packaging,Literature,High
13,Cotton Fabric Wrap,20,8,90,0.6,70,100,Food/Cosmetics,Literature,Medium
14,Jute Bag,25,12,95,0.5,85,90,Food/Cosmetics,Literature,Medium
15,PLA Sheet,50,12,80,0.55,70,125,Food Packaging,Literature,High
16,Polylactic Acid Blend,45,10,80,0.5,70,118,Food/Cosmetic,Literature,High
17,Biodegradable Film,30,8,85,0.6,65,105,Food Packaging,Literature,High
18,Aluminum Foil,70,20,1,8.0,90,150,Food Packaging,Literature,High
19,Glass Bottle,90,25,0,2.5,95,120,Drinkware,Literature,High
20,Steel Can,80,22,0,6.0,90,100,Food/Drink,Literature,High
21,Mixed Plastic (HDPE+PET),60,15,1,3.5,60,90,General Packaging,Estimate,Medium
22,Recycled Mixed Plastic,60,15,1,2.0,70,85,General Packaging,Estimate,Medium
23,PLA Compostable Pack,50,10,85,0.55,70,115,Food/Cosmetics,Literature,High
24,Paper Pulp Tray,14,10,80,0.9,88,50,Food Packaging,Estimate,Medium
25,Cardboard Sleeve,16,12,5,1.1,92,42,Electronics Packaging,Estimate,Medium
26,PLA Clamshell,48,9,80,0.52,70,120,Food Packaging,Literature,High
27,Recycled Cardboard Box,15,15,5,0.83,95,41,General Packaging,Literature,High
28,Virgin Cardboard - Heavy Duty,18,20,5,1.2,90,48,Electronics Packaging,Estimate,Medium
29,Virgin Cardboard - Lightweight,12,10,5,1.1,90,42,Light Packaging,Estimate,Medium
30,Recycled Cardboard - Heavy Duty,18,20,5,0.85,95,43,Electronics Packaging,Estimate,Medium
31,Recycled Cardboard - Lightweight,12,10,5,0.8,95,38,Light Packaging,Estimate,Medium
32,Virgin Cardboard - Food Grade,16,15,5,1.15,90,47,Food Packaging,Estimate,Medium
33,Recycled Cardboard - Food Grade,16,15,5,0.84,95,41,Food Packaging,Estimate,Medium
