product_id,product_name,category,product_weight,fragility_index,shipping_type
1,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",0.5,2,Standard
2,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
3,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods",2.0,5,Heavy
4,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
5,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
6,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",0.5,2,Standard
7,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods",2.0,5,Heavy
8,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods",2.0,5,Heavy
9,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods",2.0,5,Heavy
10,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
11,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",0.5,2,Standard
12,Steel Racks & Containers,"Heavy Industrial Components, High-Security Goods",2.0,5,Heavy
13,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",0.5,2,Standard
14,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
15,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",0.5,2,Standard
16,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",0.5,2,Standard
17,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",0.5,2,Standard
18,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",0.5,2,Standard
19,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",0.5,2,Standard
20,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",0.5,2,Standard
21,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
22,Plastic Totes & Pallets,"Industrial Components, Heavy Machinery, Automotive Parts",0.3,3,Standard
23,Cardboard Boxes,"E-commerce, Food & Beverage, Consumer Goods, Apparel",0.5,2,Standard
24,Foldable & Stackable Containers,"Electronics, Medium-Value Goods, Retail Logistics",0.5,2,Standard
25,Bubble Wrap (Minimal Use),"Low-Value Goods, Secondary Protection for Non-Fragile Items",0.5,2,Standard
26,Protective Fillers (Paper/Biodegradable),"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",0.2,1,Standard
