Material ID,Packaging Type,Material Type,Suitable Product Categories,Recommended Packaging Use Cases,Supplier Region,Recyclability (%),Recyclability Category,Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),Carbon Footprint (kg CO2/unit),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%)
MAT_0001,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,98,High,79,49,188,5,0.78,0.54,61,88,6,5,4,2.24,101260,790,85
MAT_0002,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,100,High,93,31,65,2,0.52,0.32,68,98,3,3,3,1.82,73961,545,88
MAT_0003,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,87,High,78,100,180208,8,3.67,3.25,85,79,8,9,9,25,14649,4979,88
MAT_0004,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,ROW,100,High,89,31,65,3,0.48,0.31,69,87,1,1,4,2.43,75036,656,81
MAT_0005,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,100,High,92,28,122,3,0.41,0.31,61,89,3,2,3,1.69,69209,549,81
MAT_0006,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,85,Medium,38,87,52407,12,1.01,1.41,78,81,8,8,6,12.45,56902,1222,97
MAT_0007,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",ROW,91,High,75,93,147359,8,3.43,3.01,84,83,8,10,8,25.48,23428,5016,94
MAT_0008,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EU,96,High,75,96,161066,7,3.64,3.2,84,72,8,10,9,25.61,21463,4932,88
MAT_0009,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,94,High,66,91,115102,8,3.59,3,86,76,8,10,8,25.17,22087,4952,87
MAT_0010,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,94,High,90,34,31,3,0.42,0.29,63,92,1,1,3,2.29,72042,549,79
MAT_0011,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,100,High,83,50,196,6,0.66,0.54,65,92,5,5,4,3.48,96598,746,92
MAT_0012,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,87,High,70,97,75709,7,3.45,3.23,85,76,8,9,8,24.43,23521,5092,88
MAT_0013,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,APAC,76,Medium,30,7,70881,25,2.03,1.59,25,56,7,9,6,0.9,32265,164,68
MAT_0014,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,85,33,145,3,0.46,0.33,70,93,3,3,4,2.34,74773,548,80
