material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
1,Recycled Cardboard,15.5,5.0,85.0,2.1,90.0,45.50,Electronics|Food|Cosmetics
2,Bioplastic (PLA),25.0,3.5,95.0,1.8,70.0,120.00,Food|Pharmacy
3,Sugarcane Bagasse,20.0,4.0,98.0,1.5,85.0,80.75,Food|Cosmetics
4,Mushroom Packaging,12.0,2.5,100.0,0.8,75.0,150.00,Electronics|Cosmetics
5,Corrugated Cardboard,22.0,10.0,80.0,2.5,95.0,38.00,Electronics|Food|Pharmacy
6,Kraft Paper,18.0,3.0,90.0,2.0,88.0,55.00,Food|Cosmetics
7,Bamboo Fiber,28.0,6.0,92.0,1.2,80.0,95.00,Electronics|Cosmetics
8,Cornstarch Foam,8.5,1.5,99.0,1.0,65.0,110.00,Electronics|Pharmacy
9,Seaweed Packaging,10.0,1.0,100.0,0.5,60.0,180.00,Food|Cosmetics
10,Recycled Paper Pulp,16.0,4.5,88.0,2.3,92.0,42.00,Food|Pharmacy
11,Hemp Fiber,30.0,7.0,94.0,1.6,82.0,105.00,Electronics|Cosmetics|Pharmacy
12,Cellulose Film,14.0,2.0,96.0,1.4,78.0,125.00,Food
13,Molded Fiber,19.0,5.5,87.0,2.2,90.0,50.00,Electronics|Food
14,Palm Leaf,24.0,4.5,93.0,1.7,75.0,88.00,Food|Cosmetics
15,Wood Pulp,21.0,6.5,85.0,2.4,86.0,48.00,Electronics|Pharmacy
16,Cotton Fiber,26.0,3.8,91.0,1.9,80.0,98.00,Cosmetics|Pharmacy
17,Algae-based Plastic,23.0,3.2,97.0,1.3,72.0,140.00,Food|Cosmetics
18,Wheat Straw,17.0,4.2,89.0,2.0,84.0,65.00,Food|Pharmacy
19,Rice Husk,13.5,2.8,86.0,2.6,79.0,52.00,Food
20,Coconut Coir,20.5,5.0,90.0,1.8,81.0,72.00,Electronics|Food|Cosmetics
