material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
MAT_0001,Cardboard,32,50,95,0.78,98,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0002,Paper/Bio-Based,20,30,98,0.52,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0003,Steel,250,500,0,3.67,87,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0004,Paper/Bio-Based,20,30,98,0.48,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0005,Paper/Bio-Based,20,30,98,0.41,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0006,Plastic,50,70,0,1.01,85,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0007,Steel,250,500,0,3.43,91,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0008,Steel,250,500,0,3.64,96,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0009,Steel,250,500,0,3.59,94,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0010,Paper/Bio-Based,20,30,98,0.42,94,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0011,Cardboard,32,50,95,0.66,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0012,Steel,250,500,0,3.45,87,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0013,Plastic,50,70,0,2.03,76,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0014,Paper/Bio-Based,20,30,98,0.46,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0015,Plastic,50,70,0,1.03,87,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0016,Cardboard,32,50,95,0.77,93,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0017,Plastic,50,70,0,1.98,71,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0018,Plastic,50,70,0,1.91,62,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0019,Plastic,50,70,0,0.95,86,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0020,Cardboard,32,50,95,0.79,92,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0021,Paper/Bio-Based,20,30,98,0.47,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0022,Plastic,50,70,0,1.15,94,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0023,Cardboard,32,50,95,0.76,90,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0024,Plastic,50,70,0,1.07,88,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0025,Plastic,50,70,0,1.98,63,1.5,"Low-Value Goods, Secondary Protection for Non-Fragile Items"
MAT_0026,Paper/Bio-Based,20,30,98,0.57,100,1.0,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection"
MAT_0027,Cardboard,32,50,95,0.8,100,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
MAT_0028,Plastic,50,70,0,1.22,92,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0029,Plastic,50,70,0,1.04,91,1.5,"Industrial Components, Heavy Machinery, Automotive Parts"
MAT_0030,Steel,250,500,0,3.49,100,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0031,Steel,250,500,0,3.43,98,2.5,"Heavy Industrial Components, High-Security Goods"
MAT_0032,Plastic,50,70,0,0.86,90,1.5,"Electronics, Medium-Value Goods, Retail Logistics"
MAT_0033,Cardboard,32,50,95,0.79,94,1.2,"E-commerce, Food & Beverage, Consumer Goods, Apparel"
