material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
31,PLA-GF COMPOSITE,38.6,36.2,30.0,36.2,88.0,187.18,luxury;medical
66,Bamboo Fiber,27.5,75.2,90.0,18.0,52.6,145.03,automotive;luxury
65,HDPE Plastic,30.4,25.4,40.0,70.0,43.8,80.0,beverages
54,Cellulose Film,43.1,23.7,90.0,82.5,48.6,110.3,pharma;toys
46,Hemp Fiber Composite,17.7,16.7,60.0,55.7,78.9,179.97,food;fragile_goods
95,PLA Bioplastic,5.5,36.2,60.0,80.9,27.1,113.44,automotive;food
26,RECYCLED GLASS,28.0,34.8,5.0,43.8,27.4,361.63,cosmetics
48,3D-PRINTED PLA,27.2,80.7,60.0,69.4,52.2,122.92,agriculture;food
11,Steel Can Sheet,16.8,51.4,90.0,42.2,54.5,227.97,household
1,RECYCLED PAPERBOARD,27.9,32.5,80.0,40.0,70.7,65.58,agriculture;toys
19,Coconut Coir Fiber,21.9,49.0,98.0,51.8,54.5,85.0,industrial
32,Recycled Paperboard,23.0,41.2,60.0,55.7,68.0,76.15,household
90,Nanocellulose Board,44.7,36.2,50.0,42.9,54.5,95.86,automotive
97,Bamboo Fiber,16.3,29.9,60.0,16.4,69.2,74.0,fragile_goods;packaging
78,Biodegradable Foam,37.8,28.3,5.0,63.7,43.3,113.44,agriculture
5,Glass Composite,27.9,25.8,0.0,26.2,30.4,270.9,household
81,Coconut Coir Fiber,9.2,36.2,70.0,17.3,52.4,64.25,toys
34,HDPE PLASTIC,60.1,19.4,80.0,62.1,18.5,178.45,toys
13,Starch-Based Biopolymer,31.6,36.2,60.0,45.4,87.2,162.68,furniture
27,Aluminum Composite,38.4,65.7,10.0,33.9,29.7,162.52,food
100,Corrugated Cardboard,44.9,5.0,70.0,56.1,45.7,137.27,furniture
56,Bio-based Polyurethane,38.3,33.2,60.0,101.4,54.5,145.72,luxury;retail
23,Cellulose Film,27.7,45.6,98.0,51.2,58.7,135.4,household;luxury
77,Hemp Fiber Composite,55.5,59.9,70.0,36.7,51.9,105.85,furniture;retail
45,Sugarcane Bagasse,39.5,75.9,60.0,21.2,62.3,38.0,medical
73,Steel Can Sheet,11.2,76.0,90.0,55.7,54.5,241.57,industrial
16,Biodegradable Foam,27.9,26.9,60.0,74.0,47.0,134.26,beverages;food
43,PET Plastic,47.3,63.4,90.0,66.1,57.6,80.5,packaging
41,LDPE Flexible Film,23.5,43.9,98.0,43.6,66.5,108.0,industrial
10,LDPE Flexible Film,49.0,27.0,60.0,58.5,80.8,142.0,industrial
86,PLA-Coated Paper,17.8,38.6,0.0,78.9,68.6,68.98,packaging
12,PET Plastic,32.4,38.7,80.0,55.7,53.7,79.1,fragile_goods;toys
88,Recycled Glass,27.9,5.0,70.0,79.3,84.1,399.69,automotive
79,3D-Printed PLA,30.6,37.2,30.0,51.0,58.8,183.64,household
29,PLA-PHB Blend,27.9,33.1,95.0,57.0,60.1,121.12,furniture
80,Recycled PET,38.3,63.2,70.0,32.2,75.8,82.67,industrial
6,Aluminum Foil,27.9,71.8,70.0,55.7,63.2,85.26,agriculture
63,Recycled Paperboard,53.7,25.6,40.0,54.6,50.5,39.88,household;retail
57,Recycled Glass,16.2,10.7,80.0,70.3,33.4,386.51,automotive;packaging
40,Kraft Paper,27.1,36.2,90.0,19.0,68.1,78.16,beverages
36,Glass Composite,60.5,25.5,30.0,45.7,29.2,204.68,electronics;pharma
17,3D-Printed PLA,35.4,45.1,80.0,42.7,79.9,176.2,agriculture
67,Glass Composite,15.5,19.6,0.0,55.8,56.8,264.09,fragile_goods;household
35,Bamboo Fiber,7.2,56.7,40.0,55.7,71.5,13.0,beverages;furniture
8,Molded Pulp,7.6,25.5,95.0,69.2,79.7,107.02,furniture;luxury
44,Starch-Based Biopolymer,23.5,35.3,40.0,60.2,50.7,172.92,food;toys
69,Corrugated Cardboard,19.7,43.9,90.0,60.5,78.0,107.64,industrial
70,Molded Pulp,30.7,13.7,90.0,52.8,45.0,119.67,beverages;luxury
28,Nanocellulose Board,26.8,50.3,60.0,73.8,70.1,113.44,automotive;cosmetics
20,Paper Honeycomb Board,10.6,44.1,60.0,75.6,59.0,53.0,electronics;furniture
85,CELLULOSE FILM,14.0,36.7,20.0,46.8,64.1,124.0,industrial
26,RECYCLED GLASS,28.0,34.8,5.0,43.8,27.4,361.63,cosmetics
74,PET Plastic,36.5,16.4,20.0,59.1,52.8,172.04,automotive;packaging
50,Coconut Coir Fiber,19.5,10.9,50.0,32.7,39.3,35.52,toys
14,SUGARCANE BAGASSE,27.5,48.9,90.0,52.8,69.8,97.94,luxury;pharma
25,Bio-based Polyurethane,30.2,51.8,90.0,72.3,54.5,112.97,electronics;household
4,Bamboo Fiber,35.6,5.0,95.0,11.2,38.7,147.55,cosmetics;fragile_goods
18,Recycled PET,30.9,36.2,60.0,52.6,43.4,84.03,automotive;beverages
39,Molded Pulp,16.9,36.2,70.0,87.4,64.7,58.51,cosmetics
9,Kraft Paper,27.9,51.5,40.0,51.3,54.7,18.17,fragile_goods;luxury
82,Paper Honeycomb Board,27.9,36.2,90.0,80.9,37.0,54.55,toys
7,Corrugated Cardboard,31.3,29.6,50.0,76.3,55.3,78.0,packaging
