material_id,material_type,strength_mpa,weight_capacity,biodegradability_percent,co2_emission_score,recyclability_percent,cost_per_kg,industry_use_case
1,Recycled Cardboard,5.5,25,85,3.2,95,0.45,Electronics
2,Bioplastic (PLA),48,15,90,2.8,70,2.15,Food
3,Sugarcane Bagasse,12,20,95,1.9,80,1.80,Food
4,Mushroom Packaging,3.0,10,100,1.5,85,3.80,Fragile Items
5,Recycled Paper,4.2,18,80,3.5,98,0.35,Books
6,Cornstarch Foam,8,12,92,2.2,65,2.50,Electronics
7,Bamboo Fiber,15,30,88,2.0,75,1.95,General
8,Hemp Plastic,42,18,85,2.5,72,2.30,Cosmetics
9,Seaweed Packaging,2.5,8,100,1.2,90,4.20,Food
10,Recycled HDPE,28,40,35,5.8,88,1.20,Industrial
