material_id,material_type,strength_mpa,weight_capacity_kg,biodegradability_percent,co2_emission_kg_per_kg,recyclability_percent,cost_per_kg,industry_use_case,source_type,confidence_level
1.0,Virgin Cardboard,15.0,15.0,5.0,1.14,90.0,45.0,General Packaging,Literature,High
2.0,Recycled Cardboard,15.0,15.0,5.0,0.82,95.0,40.0,General Packaging,Literature,High
3.0,Virgin Paper,5.0,5.0,5.0,0.91,85.0,35.0,Light Packaging,Literature,High
4.0,Recycled Paper,5.0,5.0,5.0,0.62,90.0,30.0,Light Packaging,Literature,High
5.0,PLA Bioplastic,50.0,10.0,80.0,0.5,70.0,120.0,Food/Cosmetic,Literature,High
6.0,Compostable Plastic,40.0,8.0,85.0,0.6,70.0,110.0,Food Packaging,Literature,High
7.0,Conventional Plastic (PET),60.0,15.0,1.0,3.0,50.0,80.0,General Packaging,Literature,High
8.0,Conventional Plastic (HDPE),65.0,18.0,1.0,3.1,55.0,85.0,Food/Cosmetics,Literature,High
9.0,Recycled PET,60.0,15.0,1.0,1.8,75.0,90.0,General Packaging,Literature,High
10.0,Sugarcane Bagasse,12.0,7.0,90.0,0.4,80.0,50.0,Food Packaging,Literature,High
11.0,Wood Pulp Molded Fiber,10.0,6.0,85.0,0.5,75.0,55.0,Electronics Packaging,Literature,High
12.0,Corrugated Paperboard,16.0,20.0,5.0,1.2,92.0,48.0,Electronics Packaging,Literature,High
13.0,Cotton Fabric Wrap,20.0,8.0,90.0,0.6,70.0,100.0,Food/Cosmetics,Literature,Medium
14.0,Jute Bag,25.0,12.0,95.0,0.5,85.0,90.0,Food/Cosmetics,Literature,Medium
15.0,PLA Sheet,50.0,12.0,80.0,0.55,70.0,125.0,Food Packaging,Literature,High
16.0,Polylactic Acid Blend,45.0,10.0,80.0,0.5,70.0,118.0,Food/Cosmetic,Literature,High
17.0,Biodegradable Film,30.0,8.0,85.0,0.6,65.0,105.0,Food Packaging,Literature,High
18.0,Aluminum Foil,70.0,20.0,1.0,8.0,90.0,150.0,Food Packaging,Literature,High
19.0,Glass Bottle,90.0,25.0,0.0,2.5,95.0,120.0,Drinkware,Literature,High
20.0,Steel Can,80.0,22.0,0.0,6.0,90.0,100.0,Food/Drink,Literature,High
21.0,Mixed Plastic (HDPE+PET),60.0,15.0,1.0,3.5,60.0,90.0,General Packaging,Estimate,Medium
22.0,Recycled Mixed Plastic,60.0,15.0,1.0,2.0,70.0,85.0,General Packaging,Estimate,Medium
23.0,PLA Compostable Pack,50.0,10.0,85.0,0.55,70.0,115.0,Food/Cosmetics,Literature,High
24.0,Paper Pulp Tray,14.0,10.0,80.0,0.9,88.0,50.0,Food Packaging,Estimate,Medium
25.0,Cardboard Sleeve,16.0,12.0,5.0,1.1,92.0,42.0,Electronics Packaging,Estimate,Medium
26.0,PLA Clamshell,48.0,9.0,80.0,0.52,70.0,120.0,Food Packaging,Literature,High
27.0,Recycled Cardboard Box,15.0,15.0,5.0,0.83,95.0,41.0,General Packaging,Literature,High
28.0,Virgin Cardboard - Heavy Duty,18.0,20.0,5.0,1.2,90.0,48.0,Electronics Packaging,Estimate,Medium
29.0,Virgin Cardboard - Lightweight,12.0,10.0,5.0,1.1,90.0,42.0,Light Packaging,Estimate,Medium
30.0,Recycled Cardboard - Heavy Duty,18.0,20.0,5.0,0.85,95.0,43.0,Electronics Packaging,Estimate,Medium
